"","TimeBodyAccelerationMagnitudeMean","TimeBodyAccelerationMagnitudeStandardDeviation","TimeGravityAccelerationMagnitudeMean","TimeGravityAccelerationMagnitudeStandardDeviation","TimeBodyAccelerationJerkMagnitudeMean","TimeBodyAccelerationJerkMagnitudeStandardDeviation","TimeBodyGyroMagnitudeMean","TimeBodyGyroMagnitudeStandardDeviation","TimeBodyGyroJerkMagnitudeMean","TimeBodyGyroJerkMagnitudeStandardDeviation","FrequencyBodyAccelerationMagnitudeMean","FrequencyBodyAccelerationMagnitudeStandardDeviation","FrequencyBodyBodyAccelerationJerkMagnitudeMean","FrequencyBodyBodyAccelerationJerkMagnitudeStandardDeviation","FrequencyBodyBodyGyroMagnitudeMean","FrequencyBodyBodyGyroMagnitudeStandardDeviation","FrequencyBodyBodyGyroJerkMagnitudeMean","FrequencyBodyBodyGyroJerkMagnitudeStandardDeviation","Activity","Subject"
"14",-0.99670013,-0.9983924,-0.99670013,-0.9983924,-0.99536254,-0.99600058,-0.99767246,-0.99841465,-0.99833451,-0.99915859,-0.99775726,-0.99848118,-0.99553335,-0.99545097,-0.99856385,-0.99842929,-0.999028,-0.99905443,"STANDING",1
"15",-0.90458778,-0.83989567,-0.90458778,-0.83989567,-0.99047837,-0.98912684,-0.84050608,-0.882544,-0.99144905,-0.98971134,-0.90383853,-0.83625317,-0.98902608,-0.98780475,-0.91104074,-0.88447314,-0.99024194,-0.98927719,"STANDING",1
"16",-0.98446381,-0.98754846,-0.98446381,-0.98754846,-0.99628275,-0.99754046,-0.93127833,-0.92308961,-0.99680193,-0.99809793,-0.99136765,-0.98608288,-0.99681501,-0.99757854,-0.95640227,-0.91767988,-0.997604,-0.99883527,"STANDING",1
"17",-0.98904307,-0.99093187,-0.98904307,-0.99093187,-0.99552049,-0.99892631,-0.97236443,-0.98189323,-0.99690565,-0.99779235,-0.99273157,-0.99011174,-0.99885264,-0.99774096,-0.98656987,-0.9816707,-0.99733245,-0.9984604,"STANDING",1
"18",-0.99507155,-0.99268417,-0.99507155,-0.99268417,-0.99564686,-0.9967385,-0.9804895,-0.98867771,-0.99700147,-0.99768614,-0.99343349,-0.99230619,-0.99635004,-0.99609913,-0.99244181,-0.98791994,-0.99759265,-0.99761851,"STANDING",1
"19",-0.99872681,-0.99741361,-0.99872681,-0.99741361,-0.99585704,-0.99731242,-0.98856897,-0.99388286,-0.99808075,-0.99848741,-0.99704386,-0.99731449,-0.99674065,-0.99704535,-0.9956098,-0.99348569,-0.99850483,-0.99819704,"STANDING",1
"20",-0.99797237,-0.99879494,-0.99797237,-0.99879494,-0.99645316,-0.99991721,-0.993472,-0.99528437,-0.99869585,-0.99967043,-0.99989278,-0.99727464,-0.99947946,-0.99958203,-0.99720378,-0.99453695,-0.99957244,-0.99956029,"STANDING",1
"21",-0.99844133,-0.99798984,-0.99844133,-0.99798984,-0.99547632,-0.99763356,-0.99698274,-0.99900144,-0.99843291,-0.9991886,-0.99725253,-0.99819256,-0.99832359,-0.995093,-0.9988685,-0.99922087,-0.99904676,-0.99915254,"STANDING",1
"22",-0.997891,-0.99752775,-0.997891,-0.99752775,-0.99306888,-0.99440487,-0.99707363,-0.99843242,-0.99818838,-0.99867706,-0.99671069,-0.99781715,-0.99449599,-0.99278698,-0.99852538,-0.99850046,-0.99842415,-0.99888625,"STANDING",1
"23",-0.99589346,-0.99728461,-0.99589346,-0.99728461,-0.99222923,-0.99284139,-0.99762227,-0.99796907,-0.99852925,-0.99891331,-0.99596298,-0.998191,-0.99258499,-0.99181646,-0.99824461,-0.99793024,-0.99896566,-0.9985402,"STANDING",1
"24",-0.99521534,-0.99651065,-0.99521534,-0.99651065,-0.99337454,-0.99435793,-0.99736198,-0.9977236,-0.99832144,-0.99893826,-0.99508421,-0.9975563,-0.99429146,-0.99276945,-0.99803662,-0.9977049,-0.99872646,-0.9990231,"STANDING",1
"25",-0.99419344,-0.99494985,-0.99419344,-0.99494985,-0.99333286,-0.9952337,-0.99569879,-0.99735309,-0.99740976,-0.99890363,-0.99427863,-0.99537148,-0.99444815,-0.99520624,-0.99721689,-0.99782288,-0.99873615,-0.99886745,"STANDING",1
"26",-0.9957494,-0.99441625,-0.9957494,-0.99441625,-0.99251624,-0.99485866,-0.99526631,-0.99616702,-0.99717187,-0.99868261,-0.99363919,-0.99500518,-0.99439824,-0.99426938,-0.99674532,-0.99619603,-0.99838463,-0.99900752,"STANDING",1
"27",-0.9985525,-0.99776154,-0.9985525,-0.99776154,-0.99338553,-0.99456104,-0.99582615,-0.99579462,-0.99717422,-0.9982994,-0.99638609,-0.99864097,-0.99322754,-0.99555244,-0.99660807,-0.99570376,-0.99796927,-0.99865929,"STANDING",1
"28",-0.5543692,-0.18717165,-0.5543692,-0.18717165,-0.97526798,-0.97133698,-0.8738801,-0.96976795,-0.99023484,-0.9801139,-0.44662992,-0.19941645,-0.97565857,-0.96429842,-0.97506987,-0.97112442,-0.98331724,-0.9772135,"SITTING",1
"29",-0.93459377,-0.93195422,-0.93459377,-0.93195422,-0.99288968,-0.99458511,-0.89520271,-0.95274453,-0.99808771,-0.99875192,-0.95362658,-0.93096339,-0.99476974,-0.99278695,-0.96970623,-0.95058339,-0.99858976,-0.99876688,"SITTING",1
"30",-0.97699498,-0.97105963,-0.97699498,-0.97105963,-0.99423479,-0.99452938,-0.94096567,-0.95416523,-0.99886254,-0.9991864,-0.97670695,-0.9712139,-0.99398527,-0.99407461,-0.96972021,-0.95245005,-0.99897315,-0.99932551,"SITTING",1
"31",-0.81575864,-0.50812531,-0.81575864,-0.50812531,-0.91387886,-0.81597791,-0.68190845,-0.27136454,-0.9175591,-0.83220576,-0.61264851,-0.53386872,-0.86032147,-0.76927158,-0.60433533,-0.22046404,-0.87086437,-0.80216905,"SITTING",1
"32",-0.50739668,-0.49055481,-0.50739668,-0.49055481,-0.86678801,-0.83897844,-0.59287987,-0.35701417,-0.88878839,-0.85172027,-0.68219367,-0.4881476,-0.85131788,-0.82288377,-0.65163072,-0.3117463,-0.87238357,-0.83747045,"SITTING",1
"33",-0.62102725,-0.48451097,-0.62102725,-0.48451097,-0.94302661,-0.91068062,-0.85361742,-0.81063604,-0.9660986,-0.9471408,-0.69185852,-0.47811404,-0.91377977,-0.90566871,-0.85722556,-0.81369615,-0.94761761,-0.94961434,"SITTING",1
"34",-0.91595384,-0.89361999,-0.91595384,-0.89361999,-0.99107291,-0.98994373,-0.93617751,-0.96711724,-0.99314699,-0.98932118,-0.90549594,-0.90262603,-0.99033636,-0.98782658,-0.96910523,-0.97115637,-0.98956557,-0.98918242,"SITTING",1
"35",-0.97480504,-0.9566084,-0.97480504,-0.9566084,-0.99684513,-0.99590981,-0.96385423,-0.97509882,-0.99679493,-0.99571251,-0.96861566,-0.95600866,-0.99554762,-0.99517066,-0.98475673,-0.9733614,-0.9958058,-0.9954641,"SITTING",1
"36",-0.99523836,-0.99550157,-0.99523836,-0.99550157,-0.99763638,-0.99785691,-0.98430476,-0.98688986,-0.99703141,-0.99591487,-0.99683806,-0.99428267,-0.99778629,-0.99658205,-0.991537,-0.98593044,-0.99608502,-0.99554573,"SITTING",1
"37",-0.99906744,-0.99906531,-0.99906744,-0.99906531,-0.99661376,-0.99756977,-0.99388844,-0.9937742,-0.99658655,-0.99598442,-0.99835502,-0.99914369,-0.99779214,-0.99581104,-0.99410838,-0.99442573,-0.99603174,-0.99580097,"SITTING",1
"38",-0.9980118,-0.9955942,-0.9980118,-0.9955942,-0.99594417,-0.99763017,-0.99663124,-0.99631676,-0.99648651,-0.99617057,-0.99642627,-0.99473344,-0.99760323,-0.99632383,-0.99582391,-0.99733499,-0.99596914,-0.99636766,"SITTING",1
"39",-0.92623334,-0.94594716,-0.92623334,-0.94594716,-0.98365142,-0.97954382,-0.62607513,-0.83659935,-0.99269133,-0.99356814,-0.9452631,-0.95362659,-0.9795682,-0.97790115,-0.88993038,-0.83292149,-0.9936382,-0.99346944,"SITTING",1
"40",-0.96816289,-0.94767986,-0.96816289,-0.94767986,-0.9923627,-0.99272934,-0.78814522,-0.82768948,-0.99529654,-0.99563264,-0.96858175,-0.94488385,-0.99263806,-0.99098543,-0.87774284,-0.82666953,-0.99561812,-0.9955675,"SITTING",1
"41",-0.99295106,-0.99577426,-0.99295106,-0.99577426,-0.9934185,-0.99521943,-0.92159819,-0.8924004,-0.99658889,-0.99663743,-0.99597166,-0.99538682,-0.99454495,-0.994891,-0.93017017,-0.88862055,-0.99665915,-0.99642101,"SITTING",1
"42",-0.9934379,-0.9938755,-0.9934379,-0.9938755,-0.99298342,-0.99322502,-0.9823882,-0.9765392,-0.99707243,-0.99584487,-0.9936202,-0.99409828,-0.9923338,-0.99338603,-0.98615395,-0.97464616,-0.99589482,-0.99565892,"SITTING",1
"43",-0.99091407,-0.99281205,-0.99091407,-0.99281205,-0.99379982,-0.99349987,-0.98533998,-0.98621149,-0.99734824,-0.9970187,-0.99313905,-0.99271444,-0.99341205,-0.99215353,-0.99192262,-0.98483098,-0.99675725,-0.99725922,"SITTING",1
"44",-0.98754731,-0.99324099,-0.98754731,-0.99324099,-0.99413667,-0.99486123,-0.98075358,-0.98928227,-0.99779527,-0.99844111,-0.9933422,-0.99326591,-0.99377944,-0.99534721,-0.99468302,-0.9876524,-0.99840125,-0.99822553,"SITTING",1
"45",-0.99012264,-0.99402631,-0.99012264,-0.99402631,-0.99493458,-0.9960982,-0.98832457,-0.99026281,-0.99748502,-0.99754577,-0.99472515,-0.99349154,-0.99548811,-0.99565716,-0.99263043,-0.9900564,-0.99764281,-0.99717794,"SITTING",1
"46",-0.99302412,-0.99767465,-0.99302412,-0.99767465,-0.99568683,-0.99776271,-0.99356422,-0.99467142,-0.99712892,-0.9971475,-0.99812925,-0.99681386,-0.99752566,-0.99647978,-0.99594138,-0.99444503,-0.99707467,-0.99708205,"SITTING",1
"47",-0.99414636,-0.99825604,-0.99414636,-0.99825604,-0.99431393,-0.99816169,-0.99465856,-0.99446094,-0.99745873,-0.99810576,-0.99760147,-0.99838757,-0.99779274,-0.99754113,-0.99603154,-0.99405488,-0.99811099,-0.99784862,"SITTING",1
"48",-0.99354892,-0.99653821,-0.99354892,-0.99653821,-0.99348023,-0.99625649,-0.99552574,-0.99652094,-0.99758041,-0.99822544,-0.99551766,-0.9971598,-0.9965707,-0.99396034,-0.99702378,-0.99654661,-0.99823529,-0.99796309,"SITTING",1
"49",-0.99264098,-0.9949077,-0.99264098,-0.9949077,-0.9950409,-0.99335363,-0.99504293,-0.99637214,-0.99747144,-0.99793913,-0.99490902,-0.99478688,-0.99412111,-0.99059234,-0.99644924,-0.99679823,-0.99796048,-0.99767112,"SITTING",1
"50",-0.99205145,-0.99486796,-0.99205145,-0.99486796,-0.9959885,-0.9953607,-0.99441055,-0.99557457,-0.99706115,-0.99769576,-0.99634885,-0.99365615,-0.99602589,-0.99284617,-0.99572813,-0.99605699,-0.99765287,-0.99754752,"SITTING",1
"51",-0.99147471,-0.99536861,-0.99147471,-0.99536861,-0.99400136,-0.99616196,-0.9936703,-0.99428791,-0.9970486,-0.99682107,-0.99593391,-0.99473486,-0.99573563,-0.99550624,-0.99442502,-0.9950137,-0.99730213,-0.99594383,"SITTING",1
"52",-0.90512291,-0.83169609,-0.90512291,-0.83169609,-0.96035654,-0.90224092,-0.77756178,-0.81164844,-0.97326441,-0.94034612,-0.87510957,-0.83619631,-0.91028972,-0.89146988,-0.87599774,-0.80624765,-0.9524838,-0.93054398,"LAYING",1
"53",-0.98744609,-0.97847045,-0.98744609,-0.97847045,-0.99274198,-0.99320151,-0.91521896,-0.89860396,-0.99750843,-0.99865538,-0.98218097,-0.97848445,-0.99251304,-0.99296117,-0.93249135,-0.89574669,-0.99853716,-0.99855628,"LAYING",1
"54",-0.99798763,-0.99609738,-0.99798763,-0.99609738,-0.99513057,-0.9946894,-0.97340095,-0.97291051,-0.99775558,-0.99842692,-0.99506057,-0.99677722,-0.99450594,-0.99355488,-0.98466623,-0.97054765,-0.9983322,-0.99834175,"LAYING",1
"55",-0.99950449,-0.99870535,-0.99950449,-0.99870535,-0.99665137,-0.99564924,-0.98209908,-0.99305154,-0.99832501,-0.99869506,-0.99839081,-0.99844942,-0.99620832,-0.99331487,-0.99602715,-0.99206,-0.99854484,-0.99869335,"LAYING",1
"56",-0.99905773,-0.99827359,-0.99905773,-0.99827359,-0.99626463,-0.99587063,-0.98441252,-0.99444823,-0.99894081,-0.99912404,-0.99773322,-0.99828295,-0.99699634,-0.99267283,-0.99633125,-0.99385786,-0.99885063,-0.99936052,"LAYING",1
"57",-0.99742945,-0.99587294,-0.99742945,-0.99587294,-0.99351031,-0.99318822,-0.98814549,-0.99621972,-0.9987064,-0.99919122,-0.99485336,-0.99650887,-0.99297665,-0.99209042,-0.99698871,-0.99608841,-0.99911686,-0.99894755,"LAYING",1
"58",-0.99741966,-0.99633327,-0.99741966,-0.99633327,-0.99320615,-0.99338638,-0.99251294,-0.99394818,-0.9982823,-0.99872606,-0.99603683,-0.99629933,-0.99315112,-0.99218464,-0.99599918,-0.99333786,-0.99859072,-0.99870387,"LAYING",1
"59",-0.99728212,-0.99472458,-0.99728212,-0.99472458,-0.9949283,-0.99453129,-0.9959893,-0.99774873,-0.99875541,-0.99867217,-0.99390379,-0.99533504,-0.99399846,-0.99404556,-0.99789256,-0.9978802,-0.99871186,-0.99833283,"LAYING",1
"60",-0.9957705,-0.99389022,-0.9957705,-0.99389022,-0.9932731,-0.99438856,-0.99683171,-0.99804238,-0.99906282,-0.99933286,-0.99334705,-0.99435238,-0.99422415,-0.99288778,-0.99828512,-0.99803195,-0.99929934,-0.99909877,"LAYING",1
"61",-0.9958683,-0.99579684,-0.9958683,-0.99579684,-0.99125179,-0.99567961,-0.99705625,-0.99852708,-0.99886744,-0.99923411,-0.99380693,-0.99745177,-0.99574837,-0.9941316,-0.99861154,-0.99858622,-0.99902758,-0.99928455,"LAYING",1
"62",-0.99758819,-0.99701193,-0.99758819,-0.99701193,-0.99333114,-0.99613653,-0.99661933,-0.99904418,-0.99864793,-0.99869226,-0.99629652,-0.99729675,-0.99630902,-0.99439907,-0.99914259,-0.9990069,-0.99859962,-0.99845846,"LAYING",1
"63",-0.99786725,-0.99868238,-0.99786725,-0.99868238,-0.99407848,-0.99660017,-0.99624004,-0.99800631,-0.99853912,-0.99862726,-0.9981129,-0.9986522,-0.9958311,-0.99673367,-0.99820311,-0.99804483,-0.99848869,-0.99853391,"LAYING",1
"64",-0.9973188,-0.99877904,-0.9973188,-0.99877904,-0.99366314,-0.99440637,-0.99595283,-0.99717953,-0.99840939,-0.998737,-0.99831041,-0.99863947,-0.99276118,-0.99606696,-0.99768722,-0.99708838,-0.99870411,-0.99840436,"LAYING",1
"65",-0.72162699,-0.41726279,-0.72162699,-0.41726279,-0.9219028,-0.86582785,-0.6073844,-0.79933651,-0.95018467,-0.91945032,-0.47786351,-0.47576196,-0.86488401,-0.86628146,-0.87785926,-0.78956074,-0.93188247,-0.90994766,"LAYING",1
"66",-0.94290262,-0.92188864,-0.94290262,-0.92188864,-0.98397266,-0.98006107,-0.75196917,-0.84458764,-0.98912638,-0.98723543,-0.96740935,-0.91479967,-0.98214074,-0.97572739,-0.90194398,-0.83823923,-0.98755082,-0.9872632,"LAYING",1
"67",-0.51842779,0.064073395,-0.51842779,0.064073395,-0.85561065,-0.66085342,-0.59910183,-0.21074593,-0.86875596,-0.69583753,-0.40526174,0.085678963,-0.72619041,-0.59248301,-0.44981321,-0.20359081,-0.76672615,-0.64139664,"LAYING",1
"68",-0.36210824,-0.1266784,-0.36210824,-0.1266784,-0.82366323,-0.68634475,-0.54709337,-0.23749421,-0.83080792,-0.71704468,-0.50202182,-0.11108042,-0.72546081,-0.64267705,-0.45857638,-0.2351279,-0.76196065,-0.68522496,"LAYING",1
"69",-0.67636425,-0.7780501,-0.67636425,-0.7780501,-0.94306581,-0.94913627,-0.80157467,-0.75933208,-0.94608038,-0.92582469,-0.79232273,-0.80375155,-0.9445135,-0.95467415,-0.80248618,-0.77207963,-0.93403494,-0.92066111,"LAYING",1
"70",-0.63496006,-0.70007559,-0.63496006,-0.70007559,-0.85112159,-0.79163541,-0.71573909,-0.43782608,-0.87102635,-0.73505633,-0.71639747,-0.73690231,-0.83435446,-0.74626649,-0.41740016,-0.55289109,-0.73301366,-0.75641948,"LAYING",1
"71",-0.062945893,0.30788151,-0.062945893,0.30788151,-0.56428225,-0.33962197,-0.40112981,0.27340612,-0.67562773,-0.53941555,-0.091821255,0.28069657,-0.35848249,-0.32035278,-0.10202009,0.27991626,-0.60822781,-0.49217599,"LAYING",1
"72",0.29483896,-0.040902739,0.29483896,-0.040902739,-0.62540929,-0.29310124,-0.48420622,0.25838625,-0.75023599,-0.54078957,-0.220785,-0.10278022,-0.33175609,-0.25098304,0.10504627,0.14654068,-0.61261081,-0.49043707,"LAYING",1
"73",-0.33101576,-0.053417618,-0.33101576,-0.053417618,-0.92047767,-0.85134447,-0.73358055,-0.71856338,-0.95082172,-0.89968023,-0.49856777,-0.026812389,-0.87188606,-0.82739933,-0.76682956,-0.73479036,-0.91304149,-0.89052661,"LAYING",1
"74",-0.84935162,-0.7499689,-0.84935162,-0.7499689,-0.97568945,-0.98009774,-0.79201016,-0.90706493,-0.98514778,-0.98501114,-0.78142895,-0.77156888,-0.97823155,-0.98139751,-0.95044369,-0.89957191,-0.98525063,-0.985195,"LAYING",1
"75",-0.95078066,-0.91348682,-0.95078066,-0.91348682,-0.98420696,-0.98054207,-0.87634272,-0.91334379,-0.9900837,-0.9843463,-0.94537225,-0.91127373,-0.98065971,-0.97856496,-0.9424823,-0.91073852,-0.98690955,-0.98187267,"LAYING",1
"76",-0.98981335,-0.9901396,-0.98981335,-0.9901396,-0.99420976,-0.99676198,-0.95121536,-0.93829404,-0.99619712,-0.9968233,-0.99186108,-0.9894907,-0.99656785,-0.99570379,-0.96361471,-0.93434582,-0.99691603,-0.99648845,"LAYING",1
"77",-0.99056014,-0.99211327,-0.99056014,-0.99211327,-0.99250833,-0.99639147,-0.98737097,-0.98035599,-0.99612359,-0.9967424,-0.99330024,-0.99151132,-0.99527734,-0.99726274,-0.98660836,-0.97951337,-0.99644444,-0.99705279,"LAYING",1
"78",-0.9923007,-0.99519865,-0.9923007,-0.99519865,-0.99000829,-0.99459061,-0.99204765,-0.99363406,-0.99653651,-0.99682352,-0.99445429,-0.99567097,-0.99391936,-0.99439161,-0.9952448,-0.99335465,-0.99665054,-0.99695369,"LAYING",1
"79",-0.22455962,-0.23798068,-0.22455962,-0.23798068,-0.28942433,-0.1650001,-0.034395601,-0.16818626,-0.46614969,-0.43365401,-0.16681083,-0.39958295,-0.15404481,-0.18468998,-0.22217604,-0.27364953,-0.43183165,-0.47637007,"WALKING",1
"80",-0.12650269,-0.21339031,-0.12650269,-0.21339031,-0.13850122,-0.1985903,-0.14093823,-0.21605518,-0.38991977,-0.43898407,-0.079277624,-0.42303003,-0.17844557,-0.23065634,-0.26827982,-0.31462338,-0.42818587,-0.49288443,"WALKING",1
"81",-0.16010001,-0.2575711,-0.16010001,-0.2575711,-0.19435478,-0.21994358,-0.094593563,-0.29084739,-0.37415066,-0.41803191,-0.15631258,-0.43685834,-0.14943801,-0.32125627,-0.30867072,-0.40140024,-0.40103832,-0.48192421,"WALKING",1
"82",-0.07351308,-0.19511453,-0.07351308,-0.19511453,-0.12948008,-0.17393461,-0.049340623,-0.090123903,-0.23647406,-0.22944178,-0.10437689,-0.37621527,-0.13222215,-0.23261183,-0.06013149,-0.27464609,-0.21766885,-0.29922633,"WALKING",1
"83",-0.04949205,-0.21102536,-0.04949205,-0.21102536,-0.1598686,-0.14985071,-0.021410464,-0.044636319,-0.22009657,-0.21277224,-0.12319532,-0.38785963,-0.11608747,-0.20103653,-0.0038214657,-0.24624861,-0.18755095,-0.30033796,"WALKING",1
"84",-0.077394435,-0.23776722,-0.077394435,-0.23776722,-0.2060086,-0.19927244,-0.13887531,-0.16730755,-0.3038356,-0.37442998,-0.20002501,-0.37817216,-0.15902098,-0.25781592,-0.17453126,-0.30735586,-0.33835881,-0.46501488,"WALKING",1
"85",-0.09549311,-0.23418525,-0.09549311,-0.23418525,-0.1466642,-0.15836859,-0.19638987,-0.25609966,-0.32711536,-0.42371876,-0.14847221,-0.40610227,-0.13543936,-0.19450513,-0.26831853,-0.37690138,-0.3971911,-0.50292913,"WALKING",1
"86",-0.11344328,-0.23084634,-0.11344328,-0.23084634,-0.097063034,-0.061633391,-0.14638251,-0.24908129,-0.30373917,-0.37066839,-0.11082694,-0.42757093,-0.088076196,-0.032996374,-0.24418375,-0.38477677,-0.35354882,-0.43963334,"WALKING",1
"87",-0.1696296,-0.32073899,-0.1696296,-0.32073899,-0.28756092,-0.27400211,-0.21472204,-0.22792935,-0.46434627,-0.46330737,-0.25871717,-0.46375538,-0.21590346,-0.36040189,-0.30917911,-0.30476058,-0.47289324,-0.48842516,"WALKING",1
"88",-0.10747234,-0.24223487,-0.10747234,-0.24223487,-0.16292627,-0.16984307,-0.17879454,-0.25342387,-0.39277622,-0.43292775,-0.16322391,-0.40834585,-0.083012895,-0.29820284,-0.33790803,-0.32354691,-0.4493405,-0.4513102,"WALKING",1
"89",-0.12980293,-0.2590426,-0.12980293,-0.2590426,-0.2019714,-0.16995986,-0.18656546,-0.28436434,-0.38941355,-0.46969061,-0.22227743,-0.39548541,-0.13711251,-0.21444218,-0.33261203,-0.37380292,-0.46244652,-0.516967,"WALKING",1
"90",-0.10480876,-0.25305003,-0.10480876,-0.25305003,-0.15146378,-0.16172564,-0.16295412,-0.25447801,-0.31433045,-0.41836589,-0.15167709,-0.4324654,-0.11944835,-0.22363449,-0.30220288,-0.3493227,-0.41761345,-0.46060184,"WALKING",1
"91",-0.063225767,-0.21278856,-0.063225767,-0.21278856,-0.12198932,-0.20366331,-0.075164913,-0.20769179,-0.27198253,-0.35678785,-0.15097581,-0.37214606,-0.1525068,-0.27939285,-0.24978553,-0.31441572,-0.37851993,-0.37255783,"WALKING",1
"92",-0.017610633,-0.14299831,-0.017610633,-0.14299831,-0.10161814,-0.10006713,-0.099273959,-0.16899804,-0.27478233,-0.2855736,-0.075130477,-0.31689723,-0.1027928,-0.097456627,-0.21108422,-0.28294851,-0.28965059,-0.33084143,"WALKING",1
"93",-0.035592505,-0.15547409,-0.035592505,-0.15547409,-0.051890081,-0.086472346,-0.15365965,-0.26457853,-0.2996404,-0.34351191,-0.0591392,-0.34641,-0.037076583,-0.15403764,-0.27479762,-0.38562721,-0.34136634,-0.39315099,"WALKING",1
"94",-0.062178356,-0.22499279,-0.062178356,-0.22499279,-0.055646508,-0.11724214,-0.12408931,-0.21431024,-0.28909867,-0.35180971,-0.12987657,-0.40451684,-0.033384888,-0.23700181,-0.22141963,-0.34667919,-0.34959232,-0.40042849,"WALKING",1
"95",-0.072821245,-0.20792297,-0.072821245,-0.20792297,-0.086796765,-0.041082481,-0.12638665,-0.11301552,-0.27115443,-0.2910263,-0.11533525,-0.38831632,-0.036035559,-0.054349766,-0.16225687,-0.23155516,-0.30163572,-0.32515791,"WALKING",1
